KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
-0.0290,310109.150,5948894.850,190000,26072025,0.000,,Start of MBES Survey,,,,,-998,-1015,,,12,1,0,,,,,,,,,,,,,,,,,,,,
1.6080,311716.867,5948589.480,190000,26072025,0.000,,End of MBES Survey,,,,,-1000,-1008,,,12,2,0,,,,,,,,,,,,,,,,,,,,
-0.0290,310109.150,5948894.850,190000,26072025,0.000,,Nav Marker,,,,,-998,-1015,0.08,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
-0.0170,310120.980,5948892.710,190000,26072025,0.000,,Nav Marker,,,,,-998,-1015,0.08,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
-0.0050,310132.820,5948890.590,190000,26072025,0.000,,Nav Marker,,,,,-998,-1015,0.11,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.0070,310144.640,5948888.430,190000,26072025,0.000,,Nav Marker,,,,,-998,-1015,0.1,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.0190,310156.400,5948886.150,190000,26072025,0.000,,Nav Marker,,,,,-998,-1015,0.12,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.0310,310168.160,5948883.870,190000,26072025,0.000,,Nav Marker,,,,,-998,-1015,0.07,0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.0430,310179.950,5948881.590,190000,26072025,0.000,,Nav Marker,,,,,-998,-1015,0.08,0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.0550,310191.750,5948879.310,190000,26072025,0.000,,Nav Marker,,,,,-998,-1015,0.1,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.0670,310203.560,5948877.110,190000,26072025,0.000,,Nav Marker,,,,,-998,-1015,0.07,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.0790,310215.400,5948875.150,190000,26072025,0.000,,Nav Marker,,,,,-998,-1015,0.13,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.0910,310227.240,5948873.190,190000,26072025,0.000,,Nav Marker,,,,,-998,-1015,0.15,0.09,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1030,310239.050,5948871.110,190000,26072025,0.000,,Nav Marker,,,,,-1006,-1010,0.08,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1150,310250.850,5948868.990,190000,26072025,0.000,,Nav Marker,,,,,-1002,-1006,0.12,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1270,310262.616,5948866.875,190000,26072025,0.000,,Nav Marker,,,,,-1001,-1014,0.1,0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1390,310274.279,5948864.773,190000,26072025,0.000,,Nav Marker,,,,,-997,-1019,0.09,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1510,310285.942,5948862.671,190000,26072025,0.000,,Nav Marker,,,,,-997,-1018,0.09,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1630,310297.853,5948860.124,190000,26072025,0.000,,Nav Marker,,,,,-990,-1002,0.07,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1750,310309.887,5948857.356,190000,26072025,0.000,,Nav Marker,,,,,-1000,-1004,0.08,0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1870,310321.797,5948854.589,190000,26072025,0.000,,Nav Marker,,,,,-997,-1011,0.07,0.02,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1990,310333.459,5948851.825,190000,26072025,0.000,,Nav Marker,,,,,-1007,-1008,0.06,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.2110,310345.121,5948849.062,190000,26072025,0.000,,Nav Marker,,,,,-998,-1005,0.06,0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.2230,310356.534,5948845.747,190000,26072025,0.000,,Nav Marker,,,,,-1000,-1009,0.07,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.2350,310367.770,5948842.039,190000,26072025,0.000,,Nav Marker,,,,,-992,-1000,0.09,0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.2470,310379.034,5948838.307,190000,26072025,0.000,,Nav Marker,,,,,-1006,-1012,0.06,0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.2590,310390.600,5948834.316,190000,26072025,0.000,,Nav Marker,,,,,-998,-1013,0.08,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.2710,310402.167,5948830.325,190000,26072025,0.000,,Nav Marker,,,,,-1006,-1014,0.1,0.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.2830,310413.838,5948827.678,190000,26072025,0.000,,Nav Marker,,,,,-1006,-996,0.07,0.02,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.2950,310425.613,5948826.373,190000,26072025,0.000,,Nav Marker,,,,,-999,-1004,0.09,0.02,0,0,0,0,1,,,,,,,,,,,,,,,,,,
