KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
0.3840,310139.124,5949208.742,080000,26072025,0.000,,Nav Marker,,,,,-1295,-1022,0.0,-0.02,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.3960,310150.503,5949212.136,080000,26072025,0.000,,Nav Marker,,,,,-1290,-1025,-0.0,0.04,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0.4080,310161.815,5949215.756,080000,26072025,-0.240,,Nav Marker,,,,,-1292,-1027,0.13,0.21,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4200,310173.286,5949219.382,080000,26072025,-0.450,,Nav Marker,,,,,-1288,-1022,0.29,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4320,310185.034,5949222.813,080000,26072025,-0.440,,Nav Marker,,,,,-1293,-1022,0.2,0.09,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4440,310196.866,5949225.944,080000,26072025,-0.110,,Nav Marker,,,,,-1288,-1022,0.2,-0.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4560,310208.542,5949228.872,080000,26072025,0.140,,Nav Marker,,,,,-1294,-1025,0.14,-0.28,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4680,310220.211,5949231.642,080000,26072025,0.490,,Nav Marker,,,,,-1277,-1024,0.23,0.06,0,0,0,1,0,,,,,,,,,,,,,,,,,,
0.4800,310231.860,5949234.485,080000,26072025,0.770,,Nav Marker,,,,,-1288,-1026,0.25,0.21,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4920,310243.470,5949237.469,080000,26072025,0.910,,Nav Marker,,,,,-1288,-1023,0.17,0.14,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5040,310255.003,5949240.743,080000,26072025,0.740,,Nav Marker,,,,,-1287,-1028,0.28,0.24,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5160,310266.387,5949244.573,080000,26072025,0.000,,Nav Marker,,,,,-1262,-1006,0.02,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5280,310277.857,5949247.897,080000,26072025,0.000,,Nav Marker,,,,,-1251,-1017,-0.0,-0.04,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0.5400,310289.251,5949251.371,080000,26072025,0.000,,Nav Marker,,,,,-1249,-1020,0.0,-0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5520,310300.664,5949254.786,080000,26072025,0.060,,Nav Marker,,,,,-1250,-1022,0.09,0.3,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5640,310312.052,5949258.280,080000,26072025,0.040,,Nav Marker,,,,,-1254,-1026,0.19,0.36,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5760,310323.426,5949261.822,080000,26072025,-0.030,,Nav Marker,,,,,-1248,-1030,0.21,0.28,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5880,310334.917,5949265.112,080000,26072025,0.040,,Nav Marker,,,,,-1247,-1025,0.38,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6000,310346.741,5949268.079,080000,26072025,-0.170,,Nav Marker,,,,,-1252,-1024,0.12,0.3,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6120,310358.652,5949270.670,080000,26072025,0.000,,Nav Marker,,,,,-1255,-1021,0.06,0.21,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6240,310370.523,5949273.430,080000,26072025,0.000,,Nav Marker,,,,,-1255,-1026,0.0,0.13,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6360,310382.398,5949275.499,080000,26072025,0.380,,Nav Marker,,,,,-1253,-1023,0.15,0.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6480,310394.144,5949277.770,080000,26072025,0.310,,Nav Marker,,,,,-1249,-1028,0.16,-0.2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6600,310405.911,5949279.926,080000,26072025,0.370,,Nav Marker,,,,,-1246,-1036,0.11,0.2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6720,310417.704,5949281.773,080000,26072025,0.730,,Nav Marker,,,,,-1235,-1029,0.05,0.1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0.6840,310429.427,5949284.045,080000,26072025,0.000,,Nav Marker,,,,,-1246,-1027,0.0,-0.41,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6960,310441.255,5949285.591,080000,26072025,0.000,,Nav Marker,,,,,-1238,-1031,0.0,-0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
