KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
0.3450,310054.108,5949047.628,100000,26072025,0.000,,Start of MBES Survey,,,,,-1275,-1060,,,12,1,0,,,,,,,,,,,,,,,,,,,,
1.7190,311394.369,5949345.136,100000,26072025,0.000,,End of MBES Survey,,,,,-1288,-1084,,,12,2,0,,,,,,,,,,,,,,,,,,,,
0.3450,310054.108,5949047.628,100000,26072025,0.000,,Nav Marker,,,,,-1275,-1060,0.08,0.16,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.3570,310065.865,5949050.026,100000,26072025,0.000,,Nav Marker,,,,,-1275,-1060,0.08,0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.3690,310077.660,5949052.240,100000,26072025,0.000,,Nav Marker,,,,,-1275,-1060,0.1,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.3810,310089.454,5949054.454,100000,26072025,0.000,,Nav Marker,,,,,-1275,-1060,0.15,-0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.3930,310101.239,5949056.701,100000,26072025,0.000,,Nav Marker,,,,,-1275,-1060,0.13,-0.13,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4050,310113.024,5949058.949,100000,26072025,0.000,,Nav Marker,,,,,-1275,-1068,0.08,0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4170,310124.809,5949061.197,100000,26072025,0.000,,Nav Marker,,,,,-1269,-1065,0.06,-0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4290,310136.340,5949064.489,100000,26072025,0.000,,Nav Marker,,,,,-1273,-1072,0.1,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4410,310147.832,5949067.944,100000,26072025,0.000,,Nav Marker,,,,,-1281,-1070,0.13,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4530,310159.323,5949071.400,100000,26072025,0.000,,Nav Marker,,,,,-1277,-1073,0.12,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4650,310170.815,5949074.855,100000,26072025,0.000,,Nav Marker,,,,,-1269,-1067,0.11,0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4770,310182.306,5949078.310,100000,26072025,0.000,,Nav Marker,,,,,-1268,-1069,0.12,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.4890,310193.798,5949081.765,100000,26072025,0.000,,Nav Marker,,,,,-1261,-1068,0.09,0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5010,310205.289,5949085.221,100000,26072025,0.000,,Nav Marker,,,,,-1268,-1067,0.1,0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5130,310216.781,5949088.676,100000,26072025,0.000,,Nav Marker,,,,,-1269,-1066,0.08,0.1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5250,310228.272,5949092.131,100000,26072025,0.000,,Nav Marker,,,,,-1260,-1063,0.14,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5370,310239.764,5949095.587,100000,26072025,0.000,,Nav Marker,,,,,-1261,-1064,0.1,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5490,310251.255,5949099.042,100000,26072025,0.000,,Nav Marker,,,,,-1256,-1060,0.1,-0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5610,310263.046,5949101.172,100000,26072025,0.000,,Nav Marker,,,,,-1250,-1057,0.06,-0.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5730,310274.906,5949102.997,100000,26072025,0.000,,Nav Marker,,,,,-1228,-1052,0.09,-0.22,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5850,310286.765,5949104.821,100000,26072025,0.000,,Nav Marker,,,,,-1267,-1065,0.11,0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5970,310298.625,5949106.645,100000,26072025,0.000,,Nav Marker,,,,,-1271,-1075,0.11,0.02,0,0,0,0,1,,,,,,,,,,,,,,,,,,
