,Asset,Pipeline,AnomalyNum,Images,Description,DataSource,IMC_AnomalyCat,KP_StartAnomaly,DateLastMod,SourceFile
0,amethyst,PL649,19686,"['19686-01', '19686-02']",Start of pipeline exposure anomaly 19686,ROV,EXP,21.48337494507670,20190814 050928,amethyst\anoms_19.dat
1,amethyst,PL649,19687,"['19687-01', '19687-02']",Soft rope floating in water column (full extents not seen) - ROV hazard,ROV,DEB,22.26471613101290,20190814 043756,amethyst\anoms_19.dat
2,amethyst,PL649,19688,"['19688-01', '19688-02']",Start of pipeline exposure anomaly 19688,ROV,EXP,31.49624539681580,20190814 001612,amethyst\anoms_19.dat
3,amethyst,PL649,19689,"['19689-01', '19689-02']",Start of pipeline exposure anomaly 19689,ROV,EXP,31.51954712211480,20190814 001351,amethyst\anoms_19.dat
4,amethyst,PL649,19690,"['19690-01', '19690-02']",Start of pipeline exposure anomaly 19690,ROV,EXP,31.63213156210940,20190814 000730,amethyst\anoms_19.dat
5,amethyst,PL649,19691,"['19691-01', '19691-02']",Start of pipeline exposure anomaly 19691,ROV,EXP,31.66795474741120,20190814 000545,amethyst\anoms_19.dat
6,amethyst,PL649,19692,"['19692-01', '19692-02']",Start of pipeline exposure anomaly 19692,ROV,EXP,31.73944758874320,20190814 000030,amethyst\anoms_19.dat
7,amethyst,PL649,19693,"['19693-01', '19693-02']",Start of pipeline exposure anomaly 19693,ROV,EXP,31.82028907709930,20190813 235312,amethyst\anoms_19.dat
8,amethyst,PL649,19694,"['19694-01', '19694-02']",Start of pipeline exposure anomaly 19694,ROV,EXP,32.14292180419900,20190813 233437,amethyst\anoms_19.dat
9,amethyst,PL649,19695,"['19695-01', '19695-02']",Start of pipeline exposure anomaly 19695,ROV,EXP,32.28255472594370,20190813 232814,amethyst\anoms_19.dat
10,amethyst,PL649,19675,"['19675-01', '19675-02']",Start of pipeline exposure anomaly 19675,ROV,EXP,43.09332568250040,20190813 002230,amethyst\anoms_19.dat
11,amethyst,PL649,19676,"['19676-01', '19676-02']",Start of pipeline exposure anomaly 19676,ROV,EXP,43.10235681476120,20190813 002154,amethyst\anoms_19.dat
12,amethyst,PL649,19677,"['19677-01', '19677-02']",Start of pipeline exposure anomaly 19677,ROV,EXP,43.10847501832820,20190813 002133,amethyst\anoms_19.dat
13,amethyst,PL649,19678,"['19678-01', '19678-02']",Start of pipeline exposure anomaly 19678,ROV,EXP,43.11485663579920,20190813 002107,amethyst\anoms_19.dat
14,amethyst,PL649,19679,"['19679-01', '19679-02']",Start of pipeline exposure anomaly 19679,ROV,EXP,43.12222600115970,20190813 002035,amethyst\anoms_19.dat
15,amethyst,PL649,19680,"['19680-01', '19680-02']",Start of pipeline exposure anomaly 19680,ROV,EXP,43.12812323215340,20190813 002010,amethyst\anoms_19.dat
16,amethyst,PL649,19681,"['19681-01', '19681-02']",Start of pipeline exposure anomaly 19681,ROV,EXP,43.13086309194570,20190813 001955,amethyst\anoms_19.dat
17,amethyst,PL649,19671,"['19671-01', '19671-02']",Start of pipeline exposure anomaly 19671,ROV,EXP,47.67193528734160,20190812 212849,amethyst\anoms_19.dat
18,amethyst,PL649,19672,"['19672-01', '19672-02']",Start of pipeline exposure anomaly 19672,ROV,EXP,47.68313588181530,20190812 213152,amethyst\anoms_19.dat
19,amethyst,PL649,19673,"['19673-01', '19673-02']",Start of pipeline exposure anomaly 19673,ROV,EXP,47.72175808782720,20190812 213711,amethyst\anoms_19.dat
20,amethyst,PL649,19674,"['19674-01', '19674-02']",Start of pipeline exposure anomaly 19674,ROV,EXP,47.73459458534750,20190812 214044,amethyst\anoms_19.dat
21,Joint,PL022,19493,"['19493-01', '19493-02']",Scaffold frame on pipe track,ROV,DEB,0.02184350167696,20190802 055318,Inde Joint\anoms_19.dat
22,Joint,PL022,19492,"['19492-01', '19492-02']",Start of intermittent pipeline exposure anomaly 19492,ROV,EXP,0.03305548849181,20190802 055157,Inde Joint\anoms_19.dat
23,Joint,PL022,19491,"['19491-01', '19491-02']",Longitudinal crack on top of pipe,ROV,WCL,0.50091231624250,20190802 052122,Inde Joint\anoms_19.dat
24,Joint,PL022,19489,"['19489-01', '19489-02']",Start of intermittent pipeline exposure anomaly 19489,ROV,EXP,1.33383574565270,20190802 044436,Inde Joint\anoms_19.dat
25,Joint,PL022,19487,"['19487-01', '19487-02']",Freespan exceeding the critical anomaly length - Length 36m,ROV,SPN,1.38550302992440,20190802 043917,Inde Joint\anoms_19.dat
26,Joint,PL022,19490,"['19490-01', '19490-02']",Start of intermittent pipeline exposure anomaly 19490,ROV,EXP,2.60830047741175,20190802 034154,Inde Joint\anoms_19.dat
27,Joint,PL022,19488,"['19488-01', '19488-02']",Freespan exceeding the critical anomaly length - Length 17m,ROV,SPN,2.64039905498988,20190802 034023,Inde Joint\anoms_19.dat
28,Joint,PL022,19505,['19505-01'],Start of intermittent pipeline exposure anomaly 19505,ROV,EXP,5.00814193241706,20190802 020110,Inde Joint\anoms_19.dat
29,Joint,PL022,19511,"['19511-01', '19511-02']",Weightcoat damage from 12 o/c through 9 o/c to 6 o/c. No bitumen exposed,ROV,WCL,5.42600298874024,20190801 231324,Inde Joint\anoms_19.dat
30,Joint,PL022,19507,"['19507-01', '19507-02']",Freespan exceeding the critical anomaly length - Length 7m,ROV,SPN,5.43028816814669,20190801 231311,Inde Joint\anoms_19.dat
31,Joint,PL022,19506,"['19506-01', '19506-02']",Freespan exceeding the critical anomaly length - Length 10m,ROV,SPN,5.44135289437857,20190801 231244,Inde Joint\anoms_19.dat
32,Joint,PL022,19510,"['19510-01', '19510-02']",Start of circumferential weightcoat loss,ROV,WCL,5.45075379847951,20190801 231223,Inde Joint\anoms_19.dat
33,Joint,PL022,19509,"['19509-01', '19509-02']",Start of intermittent circumferential weightcoat loss,ROV,WCL,5.46595120979285,20190801 231147,Inde Joint\anoms_19.dat
34,Joint,PL022,19481,"['19481-01', '19481-02']",Start of intermittent pipeline exposure anomaly 19481,ROV,EXP,5.75777433099417,20190801 225921,Inde Joint\anoms_19.dat
35,Joint,PL022,19504,"['19504-01', '19504-02']",Circumferential weightcoat loss,ROV,WCL,5.79338405900423,20190801 225741,Inde Joint\anoms_19.dat
36,Joint,PL022,19503,"['19503-01', '19503-02']",Weightcoat damage from 6 o/c through 9 o/c to 12 o/c. No bitumen exposed,ROV,WCL,5.80041055384140,20190801 225723,Inde Joint\anoms_19.dat
37,Joint,PL022,19502,"['19502-01', '19502-02']",Weightcoat damage from 2 o/c through 6 o/c to 7 o/c. Bitumen exposed,ROV,WCL,5.81160648804251,20190801 225653,Inde Joint\anoms_19.dat
38,Joint,PL022,19484,"['19484-01', '19484-02']",Freespan exceeding the critical anomaly length - Length 6m,ROV,SPN,5.82001721598294,20190801 225633,Inde Joint\anoms_19.dat
39,Joint,PL022,19501,"['19501-01', '19501-02']",Start of intermittent circumferential weightcoat loss,ROV,WCL,5.82728268576202,20190801 225615,Inde Joint\anoms_19.dat
40,Joint,PL022,19483,"['19483-01', '19483-02']",Freespan exceeding the critical anomaly length - Length 12m,ROV,SPN,5.83295571300613,20190801 225601,Inde Joint\anoms_19.dat
41,Joint,PL022,19500,"['19500-01', '19500-02']",Start of circumferential weightcoat loss,ROV,WCL,6.03392286591225,20190801 224514,Inde Joint\anoms_19.dat
42,Joint,PL022,19482,"['19482-01', '19482-02']",Freespan exceeding the critical anomaly length - Length 13m,ROV,SPN,6.06248609463176,20190801 224402,Inde Joint\anoms_19.dat
43,Joint,PL022,19499,"['19499-01', '19499-02']",Weightcoat damage from 3 o/c through 12 o/c to 9 o/c. No bitumen exposed,ROV,DAM,6.07582175469112,20190801 224326,Inde Joint\anoms_19.dat
44,Joint,PL022,19478,['19478-01'],Start of intermittent pipeline exposure anomaly 19478,ROV,EXP,6.18589813149998,20190801 222330,Inde Joint\anoms_19.dat
45,Joint,PL022,19479,"['19479-01', '19479-02']",Freespan exceeding the critical anomaly length - Length 33m,ROV,SPN,6.20769703336489,20190801 222231,Inde Joint\anoms_19.dat
46,Joint,PL022,19480,['19480-01'],Section of weightcoat damage,ROV,WCL,6.70446693683556,20190801 215916,Inde Joint\anoms_19.dat
47,Joint,PL022,19477,"['19477-01', '19477-02']",Weightcoat loss from 3 o/c through 12 o/c to 9 o/c bitumen exposed,ROV,WCL,6.94098886466648,20190801 214751,Inde Joint\anoms_19.dat
48,Joint,PL022,19476,"['19476-01', '19476-02']",Weightcoat loss from 3 o/c through 12 o/c to 9 o/c bitumen exposed,ROV,WCL,6.95299484351219,20190801 214401,Inde Joint\anoms_19.dat
49,Joint,PL022,19475,['19475-01'],Circumferential crack in the weight,ROV,DAM,6.95679182535524,20190801 214349,Inde Joint\anoms_19.dat
50,Joint,PL022,19474,['19474-01'],Circumferential crack in the weight,ROV,WCL,6.95841894075472,20190801 214345,Inde Joint\anoms_19.dat
51,Joint,PL022,19473,"['19473-01', '19473-02']",Weightcoat loss from 12 o/c to 6 o/c bitumen exposed,ROV,WCL,6.96551462317652,20190801 214322,Inde Joint\anoms_19.dat
52,Joint,PL022,19471,"['19471-01', '19471-02']",Fishing net extending over the pipeline from the west - No damage,ROV,DEB,7.52600003244966,20190801 211228,Inde Joint\anoms_19.dat
53,Joint,PL022,19485,"['19485-01', '19485-02']",Start of intermittent pipeline exposure anomaly 19485,ROV,EXP,7.80434734905548,20190801 183357,Inde Joint\anoms_19.dat
54,Joint,PL022,19453,"['19453-01', '19453-02']",Longitudinal crack west side,ROV,WCL,8.77146223687977,20190801 175221,Inde Joint\anoms_19.dat
55,Joint,PL022,19452,"['19452-01', '19452-02']",Weightcoat loss from 2 o/c to 5 o/c,ROV,WCL,8.78160540878199,20190801 175150,Inde Joint\anoms_19.dat
56,Joint,PL022,19446,"['19446-01', '19446-02']",Freespan exceeding the critical anomaly length - Length 92m,ROV,SPN,8.79595897423714,20190801 175111,Inde Joint\anoms_19.dat
57,Joint,PL022,19451,"['19451-01', '19451-02']",Intermittent circumferential weightcoat loss,ROV,WCL,8.86215573191489,20190801 174449,Inde Joint\anoms_19.dat
58,Joint,PL022,19450,"['19450-01', '19450-02']",Weightcoat spalling east side,ROV,WCL,8.88835329577776,20190801 174339,Inde Joint\anoms_19.dat
59,Joint,PL022,19486,"['19486-01', '19486-02']",Start of pipeline exposure anomaly 19486,ROV,EXP,11.62358488158310,20190801 154233,Inde Joint\anoms_19.dat
60,Joint,PL022,19447,"['19447-01', '19447-02']",Freespan exceeding the critical anomaly length - Length 8m,ROV,SPN,11.64778641030800,20190801 154121,Inde Joint\anoms_19.dat
61,Joint,PL022,19449,"['19449-01', '19449-02']",Circumferential weightcoat loss,ROV,WCL,11.66040310637980,20190801 154035,Inde Joint\anoms_19.dat
62,Joint,PL022,19448,"['19448-01', '19448-02']",Circumferential weightcoat loss,ROV,WCL,11.66909048546420,20190801 154011,Inde Joint\anoms_19.dat
63,Joint,PL022,19421,"['19421-01', '19421-02']",Start of intermittent pipeline exposure anomaly 19421,ROV,EXP,12.01403509258490,20190801 152528,Inde Joint\anoms_19.dat
64,Joint,PL022,19468,['19468-01'],Circumferential weightcoat crack,ROV,WCL,12.01749360703860,20190801 152519,Inde Joint\anoms_19.dat
65,Joint,PL022,19467,['19467-01'],Weightcoat loss from 12 o/c to 6 o/c bitumen exposed,ROV,WCL,12.61221066953620,20190801 145925,Inde Joint\anoms_19.dat
66,Joint,PL022,19466,['19466-01'],Weightcoat loss from 12 o/c to 6 o/c bitumen exposed,ROV,WCL,12.61596478523220,20190801 145916,Inde Joint\anoms_19.dat
67,Joint,PL022,19464,"['19464-01', '19464-02']",Circumferential weightcoat damage. Contact CP on pipe -931mV,ROV,WCL,12.62548463655810,20190801 145527,Inde Joint\anoms_19.dat
68,Joint,PL022,19463,"['19463-01', '19463-02']",Weightcoat loss from 12 o/c to 6 o/c bitumen exposed,ROV,WCL,13.07003238639100,20190801 143509,Inde Joint\anoms_19.dat
69,Joint,PL022,19461,"['19461-01', '19461-02']",Weightcoat loss from 12 o/c to 6 o/c bitumen exposed,ROV,WCL,13.08293374481100,20190801 143436,Inde Joint\anoms_19.dat
70,Joint,PL022,19459,"['19459-01', '19459-02']",Weightcoat loss from 12 o/c to 6 o/c bitumen exposed,ROV,WCL,13.10131241785990,20190801 143350,Inde Joint\anoms_19.dat
71,Joint,PL022,19420,"['19420-01', '19420-02']",Start of intermittent pipeline exposure anomaly 19420,ROV,EXP,14.23275356516700,20190801 134524,Inde Joint\anoms_19.dat
72,Joint,PL022,19456,['19456-01'],Weightcoat loss from 12 o/c to 6 o/c bitumen exposed,ROV,WCL,14.24809806632750,20190801 134006,Inde Joint\anoms_19.dat
73,Joint,PL022,19455,['19455-01'],Circumferential weightcoat loss,ROV,WCL,14.33355415424380,20190801 133603,Inde Joint\anoms_19.dat
74,Joint,PL022,19417,['19417-01'],Start of intermittent pipeline exposure anomaly 19417,ROV,EXP,16.56887598713890,20190801 120646,Inde Joint\anoms_19.dat
75,Joint,PL022,19416,"['19416-01', '19416-02']",Start of intermittent pipeline exposure anomaly 19416,ROV,EXP,16.92797060859780,20190801 115306,Inde Joint\anoms_19.dat
76,Joint,PL022,19422,"['19422-01', '19422-02']",Circumferential weightcoat loss,ROV,WCL,17.02332551093030,20190801 114929,Inde Joint\anoms_19.dat
77,Joint,PL022,19414,"['19414-01', '19414-02']",Start of intermittent pipeline exposure anomaly 19414,ROV,EXP,18.12055148812970,20190801 110903,Inde Joint\anoms_19.dat
78,Joint,PL022,19445,"['19445-01', '19445-02']",Longitudinal crack on top of pipe,ROV,WCL,18.13089522020890,20190801 110359,Inde Joint\anoms_19.dat
79,Joint,PL022,19415,"['19415-01', '19415-02']",Start of weightcoat cracking and loss from 12 o/c through 3 o/c to 6 o/c. Bitumen exposed,ROV,WCL,18.17809649474610,20190801 110200,Inde Joint\anoms_19.dat
80,Joint,PL022,19399,"['19399-01', '19399-02']",Start of intermittent pipeline exposure anomaly 19399,ROV,EXP,18.64417320941520,20190801 104033,Inde Joint\anoms_19.dat
81,Joint,PL022,19444,"['19444-01', '19444-02']",Circumferential intermittant Weightcoat loss,ROV,WCL,18.76283658546070,20190801 103612,Inde Joint\anoms_19.dat
82,Joint,PL022,19400,"['19400-01', '19400-02']",Freespan exceeding the critical anomaly length - Length 10m,ROV,SPN,18.77810034890280,20190801 103539,Inde Joint\anoms_19.dat
83,Joint,PL022,19443,"['19443-01', '19443-02']",Intermittent circumferential weightcoat loss,ROV,WCL,18.78377892627060,20190801 103527,Inde Joint\anoms_19.dat
84,Joint,PL022,19442,"['19442-01', '19442-02']",Circumferential cracking leading to weightcoat loss,ROV,WCL,18.78861515283910,20190801 103517,Inde Joint\anoms_19.dat
85,Joint,PL022,19401,"['19401-01', '19401-02']",Freespan exceeding the critical anomaly length - Length 21m,ROV,SPN TRL,18.79209189099870,20190801 103509,Inde Joint\anoms_19.dat
86,Joint,PL022,19441,"['19441-01', '19441-02']",Circumferential weightcoat loss,ROV,WCL,18.81072348531940,20190801 103427,Inde Joint\anoms_19.dat
87,Joint,PL022,19402,"['19402-01', '19402-02']",Freespan exceeding the critical anomaly length - Length 10m,ROV,SPN,18.81801828350340,20190801 103410,Inde Joint\anoms_19.dat
88,Joint,PL022,19440,"['19440-01', '19440-02']",Circumferential weightcoat loss,ROV,WCL,18.82494890710000,20190801 103355,Inde Joint\anoms_19.dat
89,Joint,PL022,19439,"['19439-01', '19439-02']",Weightcoat loss from 9 o/c to 3 o/c,ROV,WCL,18.83120377012950,20190801 103342,Inde Joint\anoms_19.dat
90,Joint,PL022,19438,"['19438-01', '19438-02']",Weightcoat cracking from 9 o/c to 2 o/c,ROV,WCL,18.85347967265430,20190801 103252,Inde Joint\anoms_19.dat
91,Joint,PL022,19437,"['19437-01', '19437-02']",Longditudinal spalling east side,ROV,WCL,18.86570487709850,20190801 103224,Inde Joint\anoms_19.dat
92,Joint,PL022,19436,"['19436-01', '19436-02']",Weightcoat loss from 9 o/c to 3 o/c,ROV,WCL,18.86836546203910,20190801 103218,Inde Joint\anoms_19.dat
93,Joint,PL022,19435,"['19435-01', '19435-02']",Circumferential weightcoat loss,ROV,WCL,18.89600924505840,20190801 103119,Inde Joint\anoms_19.dat
94,Joint,PL022,19434,"['19434-01', '19434-02']",Circumferential weightcoat loss,ROV,WCL,18.95696037205520,20190801 102855,Inde Joint\anoms_19.dat
95,Joint,PL022,19433,"['19433-01', '19433-02']",Circumferential spalling at few adjoining sections,ROV,WCL,19.00880322366370,20190801 102645,Inde Joint\anoms_19.dat
96,Joint,PL022,19432,"['19432-01', '19432-02']",Circumferential weightcoat loss,ROV,WCL,19.01039687758820,20190801 102640,Inde Joint\anoms_19.dat
97,Joint,PL022,19403,"['19403-01', '19403-02']",Freespan exceeding the critical anomaly length - Length 17m,ROV,SPN,19.02567536123700,20190801 102550,Inde Joint\anoms_19.dat
98,Joint,PL022,19431,"['19431-01', '19431-02']",Circumferential weightcoat loss,ROV,WCL,19.04099181085850,20190801 102144,Inde Joint\anoms_19.dat
99,Joint,PL022,19430,"['19430-01', '19430-02']",Circumferential weightcoat loss,ROV,WCL,19.05746701600260,20190801 102107,Inde Joint\anoms_19.dat
100,Joint,PL022,19429,"['19429-01', '19429-02']",Circumferential weightcoat loss,ROV,WCL,19.07049056082650,20190801 102038,Inde Joint\anoms_19.dat
101,Joint,PL022,19428,"['19428-01', '19428-02']",Weightcoat loss from 9 o/c to 3 o/c,ROV,WCL,19.08655812250390,20190801 102002,Inde Joint\anoms_19.dat
102,Joint,PL022,19427,"['19427-01', '19427-02']",Longitudinal spalling west side,ROV,WCL,19.11102777765830,20190801 101904,Inde Joint\anoms_19.dat
103,Joint,PL022,19426,"['19426-01', '19426-02']",Weightcoat spalling from 9 o/c to 3 /c,ROV,WCL,19.14250613288800,20190801 101750,Inde Joint\anoms_19.dat
104,Joint,PL022,19425,"['19425-01', '19425-02']",Longitudinal crack west side,ROV,WCL,19.14638573637930,20190801 101741,Inde Joint\anoms_19.dat
105,Joint,PL022,19424,"['19424-01', '19424-02']",Weightcoat loss from 9 o/c to 3 o/c,ROV,WCL,19.17919185521460,20190801 101625,Inde Joint\anoms_19.dat
106,Joint,PL022,19423,"['19423-01', '19423-02']",Circumferential weightcoat loss,ROV,WCL,19.25932758529930,20190801 101312,Inde Joint\anoms_19.dat
107,Joint,PL022,19397,"['19397-01', '19397-02']",Freespan exceeding the critical anomaly length - Length 41m,ROV,SPN,19.72710974514580,20190801 095412,Inde Joint\anoms_19.dat
108,Joint,PL022,19398,"['19398-01', '19398-02']",Circumferential weightcoat loss,ROV,WCL,19.87662318830800,20190801 094711,Inde Joint\anoms_19.dat
109,Joint,PL022,19396,"['19396-01', '19396-02']",Freespan exceeding the critical anomaly length - Length 30m,ROV,SPN,19.87742939388720,20190801 094708,Inde Joint\anoms_19.dat
110,Joint,PL022,19395,"['19395-01', '19395-02']",Freespan exceeding the critical anomaly length - Length 13m,ROV,SPN,20.30376331479580,20190801 091405,Inde Joint\anoms_19.dat
111,Joint,PL022,19394,"['19394-01', '19394-02']",Freespan exceeding the critical anomaly length - Length 19m,ROV,SPN,20.32243989339030,20190801 085904,Inde Joint\anoms_19.dat
112,Joint,PL022,19392,"['19392-01', '19392-02']",Weightcoat spalling ,ROV,WCL,20.53908653566900,20190801 063623,Inde Joint\anoms_19.dat
113,Joint,PL022,19393,"['19393-01', '19393-02']",Start of intermittent pipeline exposure anomaly 19393,ROV,EXP,20.60311361502380,20190801 062955,Inde Joint\anoms_19.dat
114,Joint,PL022,19391,"['19391-01', '19391-02']",Weightcoat spalling from 10 o/c to 2  o/c,ROV,WCL,20.93266146133800,20190801 060742,Inde Joint\anoms_19.dat
115,Joint,PL022,19390,"['19390-01', '19390-02']",Weightcoat spalling from 10 o/c to 2 o/c,ROV,WCL,21.18166732494310,20190801 055554,Inde Joint\anoms_19.dat
116,Joint,PL022,19389,"['19389-01', '19389-02']",Start of intermittent pipeline exposure anomaly 19389,ROV,EXP,21.26824779981570,20190801 054811,Inde Joint\anoms_19.dat
117,Joint,PL022,19388,"['19388-01', '19388-02']",Circumferential weightcoat spalling,ROV,WCL,23.43888961531510,20190801 041556,Inde Joint\anoms_19.dat
118,Joint,PL022,19387,"['19387-01', '19387-02']",Weightcoat spalling from 9 o/c to 11 o/c,ROV,WCL,23.44769270321700,20190801 041532,Inde Joint\anoms_19.dat
119,Joint,PL022,19386,"['19386-01', '19386-02']",Circumferential weightcoat spalling,ROV,WCL,23.51235016385840,20190801 041242,Inde Joint\anoms_19.dat
120,Joint,PL022,19385,"['19385-01', '19385-02']",Circumferential weightcoat loss,ROV,WCL,23.52526048276330,20190801 041208,Inde Joint\anoms_19.dat
121,Joint,PL022,19384,"['19384-01', '19384-02']",Weightcoat spalling from 11 o/c to 1 o/c,ROV,WCL,23.53374560836260,20190801 041146,Inde Joint\anoms_19.dat
122,Joint,PL022,19383,"['19383-01', '19383-02']",Circumferential weightcoat loss,ROV,WCL,23.53698077911690,20190801 041138,Inde Joint\anoms_19.dat
123,Joint,PL022,19382,"['19382-01', '19382-02']",Circumferential weightcoat loss,ROV,WCL,23.54929035017680,20190801 041103,Inde Joint\anoms_19.dat
124,Joint,PL022,19381,"['19381-01', '19381-02']",Circumferential weightcoat loss,ROV,WCL,23.55991363241520,20190801 041035,Inde Joint\anoms_19.dat
125,Joint,PL022,19380,"['19380-01', '19380-02']",Weightcoat spalling from 8 o/c to 10 o/c,ROV,WCL,23.56904870942840,20190801 041014,Inde Joint\anoms_19.dat
126,Joint,PL022,19379,"['19379-01', '19379-02']",Circumferential weightcoat loss,ROV,WCL,23.57780894792510,20190801 040949,Inde Joint\anoms_19.dat
127,Joint,PL022,19348,"['19348-01', '19348-02']",Freespan exceeding the critical anomaly length - Length 7m,ROV,SPN,23.59518986288360,20190801 040859,Inde Joint\anoms_19.dat
128,Joint,PL022,19349,"['19349-01', '19349-02']",Freespan exceeding the critical anomaly length - Length 5m,ROV,SPN,23.61223735629800,20190801 040805,Inde Joint\anoms_19.dat
129,Joint,PL022,19378,"['19378-01', '19378-02']",Circumferential weightcoat loss,ROV,WCL,23.61645046628640,20190801 040750,Inde Joint\anoms_19.dat
130,Joint,PL022,19377,"['19377-01', '19377-02']",Weightcoat spalling from 8 o/c to 10 o/c,ROV,WCL,23.66843960824540,20190801 040518,Inde Joint\anoms_19.dat
131,Joint,PL022,19353,"['19353-01', '19353-02']",Circumferential weightcoat loss,ROV,WCL,23.68442402719030,20190801 040433,Inde Joint\anoms_19.dat
132,Joint,PL022,19352,"['19352-01', '19352-02']",Weightcoat spalling from 8 o/c to 10 o/c,ROV,WCL,23.69267337156770,20190801 040412,Inde Joint\anoms_19.dat
133,Joint,PL022,19351,"['19351-01', '19351-02']",Longitudinal weightcoat crack,ROV,WCL,23.69916197185770,20190801 040355,Inde Joint\anoms_19.dat
134,Joint,PL022,19350,"['19350-01', '19350-02']",Freespan exceeding the critical anomaly length - Length 21m,ROV,SPN,23.89683582818900,20190801 035453,Inde Joint\anoms_19.dat
135,Joint,PL022,19367,"['19367-01', '19367-02']",Freespan exceeding the critical anomaly length - Length 37m,ROV,SPN,24.03930722915370,20190801 034750,Inde Joint\anoms_19.dat
136,Joint,PL022,19413,"['19413-01', '19413-02']",Circumferential weightcoat cracking and displacement,ROV,WCL,24.04231974366720,20190801 034741,Inde Joint\anoms_19.dat
137,Joint,PL022,19412,"['19412-01', '19412-02']",Section of circumferential weightcoat damage,ROV,WCL,24.08404182961810,20190801 034540,Inde Joint\anoms_19.dat
138,Joint,PL022,19411,"['19411-01', '19411-02']",Start of circumferential weightcoat loss,ROV,WCL,24.09144749870620,20190801 034514,Inde Joint\anoms_19.dat
139,Joint,PL022,19366,"['19366-01', '19366-02']",Freespan exceeding the critical anomaly length - Length 6m,ROV,SPN,24.10901362726520,20190801 034359,Inde Joint\anoms_19.dat
140,Joint,PL022,19365,"['19365-01', '19365-02']",Freespan exceeding the critical anomaly length - Length 10m,ROV,SPN,24.12919224121440,20190801 034305,Inde Joint\anoms_19.dat
141,Joint,PL022,19410,"['19410-01', '19410-02']",Circumferential weightcoat loss,ROV,WCL,24.14941686769670,20190801 034203,Inde Joint\anoms_19.dat
142,Joint,PL022,19409,"['19409-01', '19409-02']",Weightcoat loss from 3o/c to 12o/c,ROV,WCL,24.15882984711450,20190801 034126,Inde Joint\anoms_19.dat
143,Joint,PL022,19408,"['19408-01', '19408-02']",Weightcoat loss from 3 o/c through 12 o/c to  9o/c bitumen exposed,ROV,WCL,24.19809840477820,20190801 033929,Inde Joint\anoms_19.dat
144,Joint,PL022,19407,"['19407-01', '19407-02']",Stinger damage to the weightcoat between 3 o/c and 7 o/c,ROV,WCL,24.31547216569510,20190801 033239,Inde Joint\anoms_19.dat
145,Joint,PL022,19364,"['19364-01', '19364-02']",Freespan exceeding the critical anomaly length - Length 22m,ROV,SPN,24.35719627275170,20190801 033037,Inde Joint\anoms_19.dat
146,Joint,PL022,19406,"['19406-01', '19406-02']",Section of circumferential weightcoat damage,ROV,WCL,24.36210310374470,20190801 033023,Inde Joint\anoms_19.dat
147,Joint,PL022,19405,"['19405-01', '19405-02']",Section of circumferential weightcoat loss. ,ROV,WCL,24.36877510653170,20190801 033006,Inde Joint\anoms_19.dat
148,Joint,PL022,19404,"['19404-01', '19404-02']",Circumferential weightcoat loss,ROV,WCL,24.38014795411930,20190801 032936,Inde Joint\anoms_19.dat
149,Joint,PL022,19363,"['19363-01', '19363-02']",Freespan exceeding the critical anomaly length - Length 12m,ROV,SPN,24.76157759089590,20190801 031352,Inde Joint\anoms_19.dat
150,Joint,PL022,19376,"['19376-01', '19376-02']",Circumferential weightcoat loss,ROV,WCL,24.77415663288600,20190801 031319,Inde Joint\anoms_19.dat
151,Joint,PL022,19375,"['19375-01', '19375-02']",Circumferential weightcoat loss,ROV,WCL,25.04076986591160,20190801 030007,Inde Joint\anoms_19.dat
152,Joint,PL022,19374,"['19374-01', '19374-02']",Section of circumferential weightcoat damage,ROV,WCL,25.32367926547560,20190801 024925,Inde Joint\anoms_19.dat
153,Joint,PL022,19373,"['19373-01', '19373-02']",Weightcoat loss from 1 o/c to 3 o/c. No bitumen exposed,ROV,WCL,25.34753103338860,20190801 024817,Inde Joint\anoms_19.dat
154,Joint,PL022,19372,"['19372-01', '19372-02']",Circumferential weightcoat damage,ROV,WCL,25.74064456576490,20190801 023057,Inde Joint\anoms_19.dat
155,Joint,PL022,19371,"['19371-01', '19371-02']",Weightcoat damage top of the pipe,ROV,WCL,25.83326216828620,20190801 022723,Inde Joint\anoms_19.dat
156,Joint,PL022,19370,"['19370-01', '19370-02']",Weightcoat damage top of the pipe,ROV,WCL,25.84074625105340,20190801 022705,Inde Joint\anoms_19.dat
157,Joint,PL022,19369,"['19369-01', '19369-02']",Section of circumferential weightcoat damage,ROV,WCL,25.93128589488970,20190801 022353,Inde Joint\anoms_19.dat
158,Joint,PL022,19368,"['19368-01', '19368-02']",Section of circumferential weightcoat damage,ROV,WCL,25.93822308585070,20190801 022339,Inde Joint\anoms_19.dat
159,Joint,PL022,19319,"['19319-01', '19319-02']",Start of intermittent pipeline exposure anomaly 19319,ROV,EXP,26.13976157501820,20190801 021529,Inde Joint\anoms_19.dat
160,Joint,PL022,19358,"['19358-01', '19358-02']",Freespan exceeding the critical anomaly length - Length 9m,ROV,SPN,26.54735100568610,20190801 015957,Inde Joint\anoms_19.dat
161,Joint,PL022,19317,"['19317-01', '19317-02']",Start of intermittent pipeline exposure anomaly 19317,ROV,EXP,27.75560708210990,20190801 010744,Inde Joint\anoms_19.dat
162,Joint,PL022,19316,"['19316-01', '19316-02']",Start of intermittent pipeline exposure anomaly 19316,ROV,EXP,28.50771376754740,20190801 003640,Inde Joint\anoms_19.dat
