KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
0.5220,309848.062,5950479.289,080000,26072025,0.000,,Nav Marker,,,,,-999,-1001,0.07,-0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5340,309856.063,5950488.238,080000,26072025,0.000,,Nav Marker,,,,,-995,-998,0.05,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5460,309864.065,5950497.187,080000,26072025,0.000,,Nav Marker,,,,,-1000,-1001,0.04,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5580,309872.066,5950506.137,080000,26072025,0.000,,Nav Marker,,,,,-1000,-1001,0.04,0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5700,309880.067,5950515.086,080000,26072025,0.000,,Nav Marker,,,,,-993,-1000,0.04,0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5820,309888.069,5950524.035,080000,26072025,0.000,,Nav Marker,,,,,-1001,-1000,0.04,0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.5940,309896.070,5950532.984,080000,26072025,0.000,,Nav Marker,,,,,-1001,-1001,0.05,0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6060,309904.072,5950541.933,080000,26072025,0.000,,Nav Marker,,,,,-1001,-1000,0.04,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6180,309912.073,5950550.882,080000,26072025,0.000,,Nav Marker,,,,,-1001,-1002,0.03,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6300,309920.075,5950559.832,080000,26072025,0.000,,Nav Marker,,,,,-1001,-1001,0.03,0.02,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6420,309928.076,5950568.781,080000,26072025,0.000,,Nav Marker,,,,,-1001,-1000,0.03,0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6540,309936.077,5950577.730,080000,26072025,0.000,,Nav Marker,,,,,-1000,-1001,0.02,-0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.6660,309944.079,5950586.679,080000,26072025,0.000,,Nav Marker,,,,,-1001,-1001,0.03,-0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
