KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
62.9700,398783.320,5859139.428,080000,29072025,-0.300,,Start of MBES Survey,,,,,1001, 961,,,12,1,0,,,,,,,,,,,,,,,,,,,,
65.0300,397037.967,5858134.049,080000,29072025,0.000,,End of MBES Survey,,,,,1001, 957,,,12,2,0,,,,,,,,,,,,,,,,,,,,
62.9700,398783.320,5859139.428,080000,29072025,-0.300,,Nav Marker,,,,,1001, 961,0.19,0.63,0,0,0,0,1,,,,,,,,,,,,,,,,,,
62.9820,398771.591,5859137.873,080000,29072025,-0.110,,Nav Marker,,,,,1001, 961,0.18,0.73,0,0,0,0,1,,,,,,,,,,,,,,,,,,
62.9940,398759.905,5859136.029,080000,29072025,-0.200,,Nav Marker,,,,,1001, 961,0.2,0.86,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.0060,398748.263,5859133.866,080000,29072025,-0.320,,Nav Marker,,,,,1001, 961,0.14,1.02,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.0180,398736.586,5859131.722,080000,29072025,-0.190,,Nav Marker,,,,,1001, 961,0.14,1.13,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.0300,398724.903,5859129.604,080000,29072025,-0.040,,Nav Marker,,,,,1001, 961,0.22,1.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.0420,398713.229,5859127.447,080000,29072025,0.070,,Nav Marker,,,,,1001, 961,0.21,0.98,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.0540,398701.266,5859125.530,080000,29072025,0.400,,Nav Marker,,,,,1001, 961,0.23,0.9,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.0660,398689.373,5859122.970,080000,29072025,0.070,,Nav Marker,,,,,1001, 961,0.17,0.89,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.0780,398677.424,5859120.716,080000,29072025,0.050,,Nav Marker,,,,,1001, 961,0.14,0.97,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.0900,398665.449,5859118.598,080000,29072025,0.170,,Nav Marker,,,,,1001, 961,0.17,0.88,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.1020,398653.668,5859116.089,080000,29072025,0.020,,Nav Marker,,,,,1001, 961,0.11,0.63,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.1140,398641.954,5859113.677,080000,29072025,0.060,,Nav Marker,,,,,1001, 961,0.15,0.51,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.1260,398630.249,5859111.222,080000,29072025,0.050,,Nav Marker,,,,,1001, 961,0.1,0.43,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.1380,398618.559,5859108.701,080000,29072025,-0.020,,Nav Marker,,,,,1001, 961,0.09,0.66,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.1500,398606.927,5859106.035,080000,29072025,-0.200,,Nav Marker,,,,,1001, 961,0.2,0.84,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.1620,398595.245,5859103.731,080000,29072025,0.040,,Nav Marker,,,,,1001, 961,0.15,1.09,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.1740,398583.600,5859101.259,080000,29072025,0.110,,Nav Marker,,,,,1001, 961,0.11,1.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.1860,398572.033,5859098.430,080000,29072025,-0.190,,Nav Marker,,,,,1001, 961,0.13,1.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.1980,398560.451,5859095.664,080000,29072025,-0.360,,Nav Marker,,,,,1001, 961,0.2,0.99,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.2100,398548.769,5859093.026,080000,29072025,-0.050,,Nav Marker,,,,,1001, 961,0.18,0.86,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.2220,398537.142,5859090.160,080000,29072025,0.030,,Nav Marker,,,,,1001, 961,0.28,0.74,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.2340,398525.509,5859087.319,080000,29072025,0.130,,Nav Marker,,,,,1001, 961,0.28,0.85,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.2460,398513.896,5859084.431,080000,29072025,0.180,,Nav Marker,,,,,1001, 961,0.31,0.89,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.2580,398502.356,5859081.428,080000,29072025,0.050,,Nav Marker,,,,,1001, 961,0.27,0.94,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.2700,398490.795,5859078.520,080000,29072025,0.020,,Nav Marker,,,,,1001, 961,0.3,0.9,0,0,0,0,1,,,,,,,,,,,,,,,,,,
63.2820,398479.262,5859075.499,080000,29072025,-0.130,,Nav Marker,,,,,1001, 961,0.38,0.89,0,0,0,0,1,,,,,,,,,,,,,,,,,,
